date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:47:15	116/116	---M-Z	200	added ('OK')	text/plain	date:Fri,%2020%20Mar%202026%2015:47:14%20GMT	http://tuckermccumber.com/robots.txt		(from )
10:47:15	107203/107203	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:15%20GMT	http://tuckermccumber.com/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/index.html	(from )
10:47:15	121224/121224	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Jul%202023%2021:35:37%20GMT	http://tuckermccumber.com/wp-content/themes/chromenews/assets/bootstrap/css/bootstrap.min.css?ver=6.9.4	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-content/themes/chromenews/assets/bootstrap/css/bootstrap.minb34e.css	(from http://tuckermccumber.com/)
10:47:16	427749/427749	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Jul%202023%2021:35:37%20GMT	http://tuckermccumber.com/wp-content/themes/chromenews/style.css?ver=6.9.4	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-content/themes/chromenews/styleb34e.css	(from http://tuckermccumber.com/)
10:47:17	2729/2729	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Jul%202023%2021:35:36%20GMT	http://tuckermccumber.com/wp-content/themes/chromeblog/style.css?ver=1.0.0	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-content/themes/chromeblog/style8a54.css	(from http://tuckermccumber.com/)
10:47:17	5147/5147	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Jul%202023%2021:35:37%20GMT	http://tuckermccumber.com/wp-content/themes/chromenews/assets/icons/style.css?ver=6.9.4	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-content/themes/chromenews/assets/icons/styleb34e.css	(from http://tuckermccumber.com/)
10:47:17	8908/8908	---MCZ	200	added ('OK')	application/rss+xml	etag:%222b85c820d9e2d575bac44852ad645377%22	https://tuckermccumber.com/comments/feed/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/comments/feed/index.html	(from http://tuckermccumber.com/)
10:47:17	22957/22957	---MCZ	200	added ('OK')	application/rss+xml	etag:%22ffdd85f527c636266f33b44c0d0b9317%22	https://tuckermccumber.com/feed/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/feed/index.html	(from http://tuckermccumber.com/)
10:47:18	87553/87553	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2007%20Nov%202023%2021:37:52%20GMT	http://tuckermccumber.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-includes/js/jquery/jquery.minf43b.js	(from http://tuckermccumber.com/)
10:47:19	3139/3139	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2004%20Jul%202023%2021:35:37%20GMT	http://tuckermccumber.com/wp-content/themes/chromenews/assets/jquery.cookie.js?ver=6.9.4	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-content/themes/chromenews/assets/jquery.cookieb34e.js	(from http://tuckermccumber.com/)
10:47:19	13577/13577	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2008%20Aug%202023%2022:08:40%20GMT	http://tuckermccumber.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from http://tuckermccumber.com/)
10:47:19	191744/191744	---MCZ	200	added ('OK')	application/json	date:Fri,%2020%20Mar%202026%2015:47:19%20GMT	https://tuckermccumber.com/wp-json/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-json/index.html	(from http://tuckermccumber.com/)
10:47:19	822/822	---M-Z	200	added ('OK')	text/xml	date:Fri,%2020%20Mar%202026%2015:47:18%20GMT	https://tuckermccumber.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/xmlrpc0db0.php	(from http://tuckermccumber.com/)
10:47:19	3027/3027	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Jul%202023%2022:29:26%20GMT	https://tuckermccumber.com/wp-content/uploads/2023/07/cropped-PXL_20210915_033038384.PORTRAIT-scaled-1-32x32.jpg	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-content/uploads/2023/07/cropped-PXL_20210915_033038384.PORTRAIT-scaled-1-32x32.jpg	(from http://tuckermccumber.com/)
10:47:20	8265/8265	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Jul%202023%2022:29:26%20GMT	https://tuckermccumber.com/wp-content/uploads/2023/07/cropped-PXL_20210915_033038384.PORTRAIT-scaled-1-192x192.jpg	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-content/uploads/2023/07/cropped-PXL_20210915_033038384.PORTRAIT-scaled-1-192x192.jpg	(from http://tuckermccumber.com/)
10:47:20	7839/7839	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Jul%202023%2022:29:26%20GMT	https://tuckermccumber.com/wp-content/uploads/2023/07/cropped-PXL_20210915_033038384.PORTRAIT-scaled-1-180x180.jpg	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-content/uploads/2023/07/cropped-PXL_20210915_033038384.PORTRAIT-scaled-1-180x180.jpg	(from http://tuckermccumber.com/)
10:47:21	145118/145118	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Oct%202023%2020:18:18%20GMT	https://tuckermccumber.com/wp-content/uploads/2023/10/PXL_20231002_190843688-771x1024.jpg	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-content/uploads/2023/10/PXL_20231002_190843688-771x1024.jpg	(from http://tuckermccumber.com/)
10:47:21	1568/1568	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2004%20Jul%202023%2021:35:37%20GMT	http://tuckermccumber.com/wp-content/themes/chromenews/assets/toggle-script.js?ver=1.0.0	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-content/themes/chromenews/assets/toggle-script8a54.js	(from http://tuckermccumber.com/)
10:47:22	88828/88828	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:22%20GMT	https://tuckermccumber.com/donate/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/donate/index.html	(from http://tuckermccumber.com/)
10:47:23	2967/2967	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2004%20Jul%202023%2021:35:37%20GMT	http://tuckermccumber.com/wp-content/themes/chromenews/js/navigation.js?ver=20151215	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-content/themes/chromenews/js/navigation4a7d.js	(from http://tuckermccumber.com/)
10:47:24	104648/104648	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:21%20GMT	https://tuckermccumber.com/category/announcements/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/category/announcements/index.html	(from http://tuckermccumber.com/)
10:47:24	121689/121689	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:21%20GMT	https://tuckermccumber.com/category/cancer/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/category/cancer/index.html	(from http://tuckermccumber.com/)
10:47:24	115272/115272	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:22%20GMT	https://tuckermccumber.com/category/orlando/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/category/orlando/index.html	(from http://tuckermccumber.com/)
10:47:24	87863/87863	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:24%20GMT	https://tuckermccumber.com/category/projects/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/category/projects/index.html	(from http://tuckermccumber.com/)
10:47:24	685/685	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2004%20Jul%202023%2021:35:37%20GMT	http://tuckermccumber.com/wp-content/themes/chromenews/js/skip-link-focus-fix.js?ver=1.0.0	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-content/themes/chromenews/js/skip-link-focus-fix8a54.js	(from http://tuckermccumber.com/)
10:47:24	90933/90933	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:24%20GMT	https://tuckermccumber.com/category/photography/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/category/photography/index.html	(from http://tuckermccumber.com/)
10:47:26	89785/89785	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:25%20GMT	https://tuckermccumber.com/socials/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/socials/index.html	(from http://tuckermccumber.com/)
10:47:26	39201/39201	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2004%20Jul%202023%2021:35:37%20GMT	http://tuckermccumber.com/wp-content/themes/chromenews/assets/script.js?ver=1.0.0	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-content/themes/chromenews/assets/script8a54.js	(from http://tuckermccumber.com/)
10:47:26	104582/104582	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:25%20GMT	https://tuckermccumber.com/author/danimccumber/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/author/danimccumber/index.html	(from http://tuckermccumber.com/)
10:47:26	105418/105418	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:25%20GMT	https://tuckermccumber.com/2023/11/09/tuckers-memorial-video/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/2023/11/09/tuckers-memorial-video/index.html	(from http://tuckermccumber.com/)
10:47:30	58031/58031	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2004%20Jul%202023%2021:35:37%20GMT	http://tuckermccumber.com/wp-content/themes/chromenews/assets/bootstrap/js/bootstrap.min.js?ver=1.0.0	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-content/themes/chromenews/assets/bootstrap/js/bootstrap.min8a54.js	(from http://tuckermccumber.com/)
10:47:30	94355/94355	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:26%20GMT	https://tuckermccumber.com/2023/11/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/2023/11/index.html	(from http://tuckermccumber.com/)
10:47:30	102019/102019	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:26%20GMT	https://tuckermccumber.com/2023/11/08/tuckers-final-wishes/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/2023/11/08/tuckers-final-wishes/index.html	(from http://tuckermccumber.com/)
10:47:30	99517/99517	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:26%20GMT	https://tuckermccumber.com/2023/10/20/funeral-arrangements/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/2023/10/20/funeral-arrangements/index.html	(from http://tuckermccumber.com/)
10:47:30	3380/3380	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2004%20Jul%202023%2021:35:37%20GMT	http://tuckermccumber.com/wp-content/themes/chromenews/assets/jquery-match-height/jquery.matchHeight.min.js?ver=1.0.0	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-content/themes/chromenews/assets/jquery-match-height/jquery.matchHeight.min8a54.js	(from http://tuckermccumber.com/)
10:47:32	123313/123313	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:30%20GMT	https://tuckermccumber.com/2023/10/15/thank-you-all/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/2023/10/15/thank-you-all/index.html	(from http://tuckermccumber.com/)
10:47:32	100931/100931	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:30%20GMT	https://tuckermccumber.com/2023/10/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/2023/10/index.html	(from http://tuckermccumber.com/)
10:47:33	106906/106906	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:31%20GMT	https://tuckermccumber.com/2023/10/03/new-scenery/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/2023/10/03/new-scenery/index.html	(from http://tuckermccumber.com/)
10:47:35	121332/121332	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:33%20GMT	https://tuckermccumber.com/author/admin/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/author/admin/index.html	(from http://tuckermccumber.com/)
10:47:35	101016/101016	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:33%20GMT	https://tuckermccumber.com/2023/10/01/no-go-today/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/2023/10/01/no-go-today/index.html	(from http://tuckermccumber.com/)
10:47:35	108589/108589	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:33%20GMT	https://tuckermccumber.com/2023/09/30/finally-some-good-news/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/2023/09/30/finally-some-good-news/index.html	(from http://tuckermccumber.com/)
10:47:36	99143/99143	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:35%20GMT	https://tuckermccumber.com/2023/09/18/were-getting-there/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/2023/09/18/were-getting-there/index.html	(from http://tuckermccumber.com/)
10:47:37	117300/117300	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:35%20GMT	https://tuckermccumber.com/2023/09/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/2023/09/index.html	(from http://tuckermccumber.com/)
10:47:37	117695/117695	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:35%20GMT	https://tuckermccumber.com/2023/09/21/this-clock-has-struck-12/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/2023/09/21/this-clock-has-struck-12/index.html	(from http://tuckermccumber.com/)
10:47:38	106919/106919	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:37%20GMT	https://tuckermccumber.com/page/3/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/page/3/index.html	(from http://tuckermccumber.com/)
10:47:38	105993/105993	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:36%20GMT	https://tuckermccumber.com/2023/09/15/big-changes/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/2023/09/15/big-changes/index.html	(from http://tuckermccumber.com/)
10:47:38	106474/106474	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:37%20GMT	https://tuckermccumber.com/page/2/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/page/2/index.html	(from http://tuckermccumber.com/)
10:47:38	90352/90352	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Mar%202026%2015:47:38%20GMT	https://tuckermccumber.com/page/4/	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/page/4/index.html	(from http://tuckermccumber.com/)
10:47:38	116/116	---M-Z	200	added ('OK')	text/plain	date:Fri,%2020%20Mar%202026%2015:47:31%20GMT	https://tuckermccumber.com/robots.txt		(from http://tuckermccumber.com/)
10:47:40	20127/20127	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2004%20Jul%202023%2021:35:37%20GMT	http://tuckermccumber.com/wp-content/themes/chromenews/assets/bootstrap/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-content/themes/chromenews/assets/bootstrap/fonts/glyphicons-halflings-regular.eot	(from http://tuckermccumber.com/wp-content/themes/chromenews/assets/bootstrap/css/bootstrap.min.css?ver=6.9.4)
10:47:42	18028/18028	---M--	200	added ('OK')	font/woff2	date:Tue,%2004%20Jul%202023%2021:35:37%20GMT	http://tuckermccumber.com/wp-content/themes/chromenews/assets/bootstrap/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-content/themes/chromenews/assets/bootstrap/fonts/glyphicons-halflings-regular.woff2	(from http://tuckermccumber.com/wp-content/themes/chromenews/assets/bootstrap/css/bootstrap.min.css?ver=6.9.4)
10:47:42	108738/108738	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2004%20Jul%202023%2021:35:37%20GMT	http://tuckermccumber.com/wp-content/themes/chromenews/assets/bootstrap/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/TWebsite/tuckermccumber.com/wp-content/themes/chromenews/assets/bootstrap/fonts/glyphicons-halflings-regular.svg	(from http://tuckermccumber.com/wp-content/themes/chromenews/assets/bootstrap/css/bootstrap.min.css?ver=6.9.4)
